#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
685,"wait a minute","Arlie",30,140,"","","BREAK THE CURSE",2022-06-03,03:23,36,87,1,0,58,0,70,-4,E,4,2023-09-08,3bdQi8LTCadIizVV6nMQjY,"Atlantic Records",12B,USAT22104869
686,"Let Down","Michigander",42,129,"","","Let Down",2020-09-10,02:56,47,91,6,0,18,0,0,-3,A#/B♭,4,2023-09-08,6zvpLxTrTKDzdeQ9OLshpQ,"C3 Records",6B,TCAFA2087910
687,"Chaparral","The Moss",48,152,"","","Insomnia EP",2023-01-20,02:46,43,66,4,0,55,0,30,-6,E minor,4,2023-09-08,4dOgsyS7EqbkK69S08Ns8Q,"S-Curve Records",9A,USHR12245126
688,"Waiting on the Weekend","HARBOUR",0,160,"","","Waiting on the Weekend",2018-07-18,03:14,42,72,1,0,50,0,0,-6,D,4,2023-09-08,4fCsURTivu9zQsd9FeJvqJ,"Harbour",10B,TCADS1887304
689,"Leaves","Joe P",44,133,"","","Emily Can't Sing",2021-10-22,04:03,44,88,0,0,39,0,10,-7,F#/G♭,4,2023-09-08,4wwSEDQrxce8s9zK8rMTSy,"Neon Gold/Atlantic",2B,QMGR32103683
690,"The Other Way","Michigander",34,102,"","","It Will Never Be The Same",2023-03-31,03:10,55,79,0,0,53,0,20,-4,A,4,2023-09-08,4uYBMuSp7kUN8TLrOW0KoJ,"C3 Records",11B,TCAGJ2282810
691,"get him back!","Olivia Rodrigo",79,162,"","","GUTS",2023-09-08,03:31,55,85,1,0,73,10,50,-6,F,4,2023-09-08,2gyxAWHebV7xPYVxqoi86f,"Olivia Rodrigo PS",7B,USUG12304099
692,"Cleopatra","The Lumineers",6,151,"folk pop, indie folk","Folk, Pop, Rock","Cleopatra",2016-04-08,03:21,54,78,23,0,49,0,0,-7,G#/A♭,4,2023-09-08,2ToW7zhGCrVrLU4fiKj9U1,"Dualtone Music Group",4B,USDMG1673803
693,"love is embarrassing","Olivia Rodrigo",77,160,"","","GUTS",2023-09-08,02:34,52,82,0,0,62,10,10,-4,A,4,2023-09-08,26QLJMK8G0M06sk7h7Fkse,"Olivia Rodrigo PS",11B,USUG12305000
694,"Lady May","Tyler Childers",78,81,"country, red dirt, alt country, texas country, bluegrass","Country, Rock, Folk","Purgatory",2017-08-04,03:03,54,16,88,0,32,0,10,-13,D#/E♭,4,2023-09-08,3t5OV1asJHmOlf23T08CLv,"Hickman Holler Records",5B,QZ84K1700010
695,"Yes I'm Changing","Tame Impala",74,180,"indie, psychedelic pop","Pop, Rock","Currents",2015-07-17,04:30,37,61,11,0,35,0,0,-7,C,4,2023-09-08,0xtIp0lgccN85GfGOekS5L,"Universal Music Australia Pty. Ltd.",8B,AUUM71500295
696,"Birmingham","Zach Bryan",65,75,"country, red dirt","Country","Quiet, Heavy Dreams",2020-11-27,03:26,59,48,62,0,47,0,10,-5,G,4,2023-09-08,7DyMTd5uNSi6ioB6z5BGtG,"Warner Records",9B,USWB12004712
697,"Solid Ground","Vance Joy",44,112,"folk pop","Folk, Pop","In Our Own Sweet Time",2022-06-10,03:33,58,70,23,6,41,0,10,-6,F minor,4,2023-09-08,0AY3iY8Nn20yDljtcAke4y,"Atlantic Records",4A,USAT22201797
698,"Poplar St","Glass Animals",62,69,"","","How To Be A Human Being",2016-08-26,04:22,57,45,25,1,26,0,10,-8,E minor,4,2023-09-08,3ApAsbQP7d5GlFwwdExaTY,"Wolf Tone",9A,GB2DY1600024
699,"Youth","Glass Animals",73,96,"","","How To Be A Human Being",2016-08-26,03:50,65,72,13,0,79,0,10,-8,A minor,4,2023-09-08,1LPGwuFgIzbJoShfDdw7MY,"Wolf Tone",8A,GB2DY1600029
700,"Diet Mountain Dew","Lana Del Rey",52,176,"","","Born To Die",2012-01-30,03:42,46,68,28,0,59,0,40,-6,A#/B♭ minor,4,2023-09-08,20Dr6PsU4KweNgqDw7Vo0I,"Polydor Records",3A,GBUM71111528
